SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
biological activity assay measuring epitope specific immunoglobulin-mediated neutralization	neutralization |biological activity	A B cell epitope dependent biological activity determination assay that detects neutralization of the antigen.	equivalent to	assay measuring B cell epitope specific biological activity						immunoglobulin-mediated neutralization				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific opsonization	opsonization|biological activity	A B cell epitope specific activation of additional immune response in vitro assay that detects opsonization.	equivalent to	biological activity assay measuring epitope specific activation of additional immune response in vitro						opsonization				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
calorimetry assay measuring binding of a B cell epitope:antibody complex 	qualitative binding|calorimetry	A B cell epitope qualitative binding to antibody assay that uses a calorimetric binding assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	calorimetric binding assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
electron microscopy assay determining the 3D structure of a B cell epitope:antibody complex	3D structure|electron microscopy	A B cell epitope 3D structure determination assay that uses an electron microscopy imaging assay.	equivalent to	3D structure determining assay of a 3D B cell epitope:antibody complex	electron microscopy imaging assay							3D structural organization datum		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
NMR assay determining the 3D structure of a B cell epitope:antibody complex	3D structure|nuclear magnetic resonance (NMR)	A B cell epitope 3D structure determination assay that uses a nuclear magnetic resonance assay.	equivalent to	3D structure determining assay of a 3D B cell epitope:antibody complex	nuclear magnetic resonance 3D structure determination assay							3D structural organization datum		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cross blocking assay measuring binding of a B cell epitope:antibody complex	qualitative binding|cross blocking	A B cell epitope qualitative binding to antibody assay that uses an antibody cross-blocking assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	antibody cross-blocking assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
RIA measuring binding of a B cell epitope:antibody complex	qualitative binding|radio immuno assay (RIA)	A B cell epitope qualitative binding to antibody assay that uses a radio immuno assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	radio immuno assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
immunoblot assay measuring binding of a B cell epitope:antibody complex	qualitative binding|western blot	A B cell epitope qualitative binding to antibody assay that uses an immunoblot assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	immunoblot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
plasmon resonance assay measuring binding of a B cell epitope:antibody complex	qualitative binding|surface plasmon resonance (SPR)	A B cell epitope qualitative binding to antibody assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	surface plasmon resonance binding assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
immuno staining assay measuring binding of a B cell epitope:antibody complex	qualitative binding|immuno staining	A B cell epitope qualitative binding to antibody assay that uses an immuno staining assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	immuno staining assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
immunoprecipitation assay measuring binding of a B cell epitope:antibody complex	qualitative binding|immunoprecipitation	A B cell epitope qualitative binding to antibody assay that uses an immunoprecipitation assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	immunoprecipitation assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
mass spectrometry assay measuring binding of a B cell epitope:antibody complex	qualitative binding|mass spectrometry	A B cell epitope qualitative binding to antibody assay that uses a mass spectrometry assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	mass spectrometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
phage display assay measuring binding of a B cell epitope:antibody complex	qualitative binding|phage display	A B cell epitope qualitative binding to antibody assay that uses a phage display binding assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	phage display binding assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
electron microscopy assay measuring binding of a B cell epitope:antibody complex	qualitative binding|electron microscopy	A B cell epitope qualitative binding to antibody assay that uses an electron microscopy imaging assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	electron microscopy imaging assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring binding of a B cell epitope:antibody complex	qualitative binding|ELISA	A B cell epitope qualitative binding to antibody assay that uses an enzyme-linked immunosorbent assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring binding of a B cell epitope:antibody complex	qualitative binding|ELISPOT	A B cell epitope qualitative binding to antibody assay that uses an enzyme-linked immunospot assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
flow cytometry assay measuring binding of a B cell epitope:antibody complex	qualitative binding|flow cytometry	A B cell epitope qualitative binding to antibody assay that uses a flow cytometry assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	flow cytometry assay									IEDB	IEDB
intracellular material detection assay measuring epitope specific granzyme A release by T cells	granzyme A release|intracellular staining	A T cell epitope specific granzyme A release assay that uses an intracellular material detection by flow cytometry assay.	equivalent to	biological activity assay measuring epitope specific granzyme A release by T cells	flow cytometry assay									IEDB	IEDB
chromatography assay measuring binding of a B cell epitope:antibody complex	qualitative binding|chromatography	A B cell epitope qualitative binding to antibody assay that uses an analytical chromatography assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	analytical chromatography									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
NMR assay measuring binding of a B cell epitope:antibody complex	qualitative binding|nuclear magnetic resonance (NMR)	A B cell epitope qualitative binding to antibody assay that uses a nuclear magnetic resonance assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	nuclear magnetic resonance 3D structure determination assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific granulysin release by T cells	granulysin release|ELISA	A T cell epitope specific granulysin release assay that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific granulysin release by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
intracellular material detection assay measuring epitope specific granulysin release by T cells	granulysin release|intracellular staining	A T cell epitope specific granulysin release assay that uses an intracellular material detection by flow cytometry assay.	equivalent to	biological activity assay measuring epitope specific granulysin release by T cells	flow cytometry assay									IEDB	IEDB
cell bound MHC direct binding assay measuring the off rate [koff] of a MHC:ligand complex using fluorescence detection	off rate|cellular MHC/direct/fluorescence|1/s	A cell bound MHC ligand binding off rate measurement (koff) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the off rate measurement [koff] of a MHC:ligand complex	fluorescence detection assay			cell					hertz	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC direct binding assay measuring binding on rate [kon] of a MHC:ligand complex using fluorescence detection	on rate|cellular MHC/direct/fluorescence|nM^-1s^-1	A cell bound MHC ligand binding on rate (kon) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the MHC ligand binding on rate [kon] of a MHC:ligand complex	fluorescence detection assay			cell					count per nanomolar second	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by IC50 using fluorescence detection	dissociation constant KD (~IC50)|purified MHC/competitive/fluorescence|nM	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation and provides IC50 values determined under assay conditions where the IC50 approximates a KD value. 	subclass of	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-17A production by T cells	IL-17A release|ELISA	A T cell epitope specific interleukin-17A production assay that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-17A production by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-7 production by T cells	IL-7 release|RNA/DNA detection	An assay of epitope specific interleukin-7 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-7 production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
in vivo assay measuring B cell epitope specific protection from fertility	protection from fertility|in vivo assay	An efficacy of B cell epitope intervention experiment that uses a protection from challenge in vivo intervention experiment based on reduction of fertility.	subclass of	biological activity assay measuring B cell epitope specific in vivo activity	in vivo intervention experiment	organism								PERSON:Randi Vita, James Overton, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific tolerance induction	tolerance|in vivo assay	An efficacy of B cell epitope intervention experiment that uses a tolerance induction intervention experiment.	equivalent to	biological activity assay measuring B cell epitope specific in vivo activity	tolerance induction intervention experiment					B cell tolerance induction				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific induction of hypersensitivity	hypersensitivity|in vivo assay	An efficacy of B cell epitope intervention experiment that detects a hypersensitivity response by monitoring skin reactions.	equivalent to	biological activity assay measuring B cell epitope specific in vivo activity	in vivo intervention experiment					hypersensitivity				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific immune complex formation	agglutination|biological activity	A B cell epitope specific activation of additional immune response in vitro assay that detects agglutination.	equivalent to	biological activity assay measuring epitope specific activation of additional immune response in vitro						immune complex formation				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific protection based on survival	survival from challenge|in vivo assay	A B cell epitope in vivo intervention experiment that uses a protection from challenge in vivo intervention experiment based on survival.	subclass of	in vivo assay measuring B cell epitope specific protection from challenge	protection from challenge in vivo intervention experiment									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific treatment of disease	decreased disease|in vivo assay	An efficacy of B cell epitope intervention experiment that detects a decrease in disease.	equivalent to	biological activity assay measuring B cell epitope specific in vivo activity	treatment intervention experiment									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring B cell epitope specific in vivo activity	in vivo activity|biological activity	A B cell epitope dependent biological activity determination assay that uses an in vivo intervention experiment.	equivalent to	assay measuring B cell epitope specific biological activity	in vivo intervention experiment	organism								PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
antigen inhibition assay measuring binding of a B cell epitope:antibody complex	qualitative binding|antigen inhibition	A B cell epitope qualitative binding to antibody assay that measures the ability of an antigen to inhibit antibody binding to a known ligand.	subclass of	assay measuring qualitiative binding of a B cell epitope:antibody complex		('material entity' and 'has role' some 'positive reference substance role')								PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring qualitiative binding of a B cell epitope:antibody complex	qualitative binding|binding assay	A B cell epitope recognition assay that detects qualitative binding.	equivalent to	assay measuring binding of a B cell epitope:antibody complex					immunoglobulin binding to epitope					IEDB	IEDB
biological activity assay measuring epitope specific activation of additional immune response in vitro	secondary in vitro activity|biological activity	A B cell epitope dependent biological activity determination assay that detects secondary in vitro activity.	subclass of	assay measuring B cell epitope specific biological activity					('process is result of' some 'immunoglobulin binding to epitope')					IEDB	IEDB
biological activity assay measuring epitope specific antigen inhibition of antibody activity	antibody activity inhibition|biological activity	A B cell epitope dependent biological activity determination assay that detects inhibition of the antibody's activity by the antigen.	subclass of	assay measuring B cell epitope specific biological activity		('material entity' and 'has role' some 'positive reference substance role')								IEDB	IEDB
assay measuring B cell epitope specific biological activity	biological activity|any method	A B cell epitope recognition assay that detects biological activity.	equivalent to	assay measuring binding of a B cell epitope:antibody complex					('process is result of' some 'immunoglobulin binding to epitope')					IEDB	IEDB
assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|binding assay|nM	A B cell epitope binding constant determination assay that measures the dissociation constant KD.	equivalent to	assay measuring a binding constant of a B cell epitope:antibody complex								equilibrium dissociation constant (KD)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring a binding constant of a B cell epitope:antibody complex	binding constant|binding assay	A B cell epitope recognition assay that quantitavely characterizes the binding of an antibody / BCR with a ligand by determining a binding constant. 	equivalent to	assay measuring binding of a B cell epitope:antibody complex								binding constant		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific protection from challenge	protection from challenge|in vivo assay	An efficacy of B cell epitope intervention experiment that uses a protection from challenge in vivo intervention experiment.	equivalent to	biological activity assay measuring B cell epitope specific in vivo activity	protection from challenge in vivo intervention experiment									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring B cell epitope specific disease exacerbation	disease exacerbation|in vivo assay	An efficacy of B cell epitope intervention experiment that uses a disease exacerbation in vivo intervention experiment.	equivalent to	biological activity assay measuring B cell epitope specific in vivo activity	disease exacerbation in vivo intervention experiment									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring the on rate [kon] of a B cell epitope:antibody complex	on rate|binding assay|M^-1s^-1	A B cell epitope binding constant determination assay that measures the on rate.	equivalent to	assay measuring a binding constant of a B cell epitope:antibody complex								binding on rate measurement datum (kon)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|binding assay|1/nM	A B cell epitope binding constant determination assay that measures the association constant KA.	equivalent to	assay measuring a binding constant of a B cell epitope:antibody complex								equilibrium association constant (KA)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
3D structure determining assay of a 3D B cell epitope:antibody complex	3D structure|any method	A B cell epitope recognition assay that characterizes the 3D structure of an antibody / BCR with a ligand.	equivalent to	assay measuring binding of a B cell epitope:antibody complex	3D structure determination of bound complex assay							3D structural organization datum		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
assay measuring the off rate [koff] of a B cell epitope:antibody complex	off rate|binding assay|1/s	A B cell epitope binding constant determination assay that measures the off rate.	equivalent to	assay measuring a binding constant of a B cell epitope:antibody complex								binding off rate measurement datum (koff)		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific hemagglutination inhibition	hemagglutination inhibition|biological activity	A B cell epitope qualitative binding to antibody assay that uses a viral hemagglutination inhibition assay.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	viral hemagglutination inhibition assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
quenching assay measuring binding of a B cell epitope:antibody complex	qualitative binding|quenching	A B cell epitope qualitative binding to antibody assay that uses an antibody binding detection by fluorescence quenching.	equivalent to	assay measuring qualitiative binding of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
RIA measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|radio immuno assay (RIA)|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses a radio immuno assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	radio immuno assay								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|ELISA|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses an enzyme-linked immunosorbent assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	enzyme-linked immunosorbent assay								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
quenching assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|quenching|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses an antibody binding detection by fluorescence quenching assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
surface plasmon resonance assay measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|surface plasmon resonance (SPR)|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	surface plasmon resonance binding assay								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
surface plasmon resonance assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	dissociation constant KD|surface plasmon resonance (SPR)|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	surface plasmon resonance binding assay								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
quenching assay measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|quenching|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses an antibody binding detection by fluorescence quenching assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
calorimetry assay measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|calorimetry|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses a calorimetric binding assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	calorimetric binding assay								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
calorimetry assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex 	dissociation constant KD|calorimetry|nM	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses a calorimetric binding assay.	equivalent to	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	calorimetric binding assay								nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|ELISA|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses an enzyme-linked immunosorbent assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	enzyme-linked immunosorbent assay								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
RIA measuring the association constant [KA] of a B cell epitope:antibody complex	association constant KA|radio immuno assay (RIA)|1/nM	A B cell epitope equilibrium association constant (KA) determination assay that uses a radio immuno assay.	equivalent to	assay measuring the association constant [KA] of a B cell epitope:antibody complex	radio immuno assay								count per nanomolar	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
X-ray crystallography assay determining the 3D structure of a B cell epitope:antibody complex	3D structure|x-ray crystallography|angstroms	A B cell epitope 3D structure determination assay that uses an X-ray crystallography assay.	equivalent to	3D structure determining assay of a 3D B cell epitope:antibody complex	X-ray crystallography assay							3D structural organization datum	angstrom	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
surface plasmon resonance assay measuring the off rate [koff] of a B cell epitope:antibody complex	off rate|surface plasmon resonance (SPR)|1/s	A B cell epitope binding off rate measurement (koff) determination assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring the off rate [koff] of a B cell epitope:antibody complex	surface plasmon resonance binding assay								hertz	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
quenching assay measuring the off rate [koff] of a B cell epitope:antibody complex	off rate|quenching|1/s	A B cell epitope binding off rate measurement (koff) determination assay that uses an antibody binding detection by fluorescence quenching assay.	equivalent to	assay measuring the off rate [koff] of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching								hertz	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
surface plasmon resonance assay measuring the on rate [kon] of a B cell epitope:antibody complex	on rate|surface plasmon resonance (SPR)|M^-1s^-1	A B cell epitope on rate measurement (kon) determination assay that uses a surface plasmon resonance assay.	equivalent to	assay measuring the on rate [kon] of a B cell epitope:antibody complex	surface plasmon resonance binding assay								count per molar second	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
quenching assay measuring the on rate [kon] of a B cell epitope:antibody complex	on rate|quenching|M^-1s^-1	A B cell epitope on rate measurement (kon) determination assay that uses an antibody binding detection by fluorescence quenching assay.	equivalent to	assay measuring the on rate [kon] of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching								count per molar second	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-1 beta production by T cells	IL-1b release|RNA/DNA detection	An assay of epitope specific interleukin-1 beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-1 alpha production by T cells	IL-1a release|ICS	An assay of epitope specific interleukin-1 alpha production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-1 alpha production by T cells	IL-1a release|ELISPOT	An assay of epitope specific interleukin-1 alpha production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-1 alpha production by T cells	IL-1a release|RNA/DNA detection	An assay of epitope specific interleukin-1 alpha production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-1 alpha production by T cells	IL-1a release|cytometric bead array	An assay of epitope specific interleukin-1 alpha production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interferon-beta production by T cells	IFNb release|ELISPOT	An assay of epitope specific interferon-beta production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interferon-beta production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interferon-beta production by T cells	IFNb release|ICS	An assay of epitope specific interferon-beta production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interferon-beta production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific granulocyte colony stimulating factor production by T cells	G-CSF release|ICS	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interferon-beta production by T cells	IFNb release|ELISA	An assay of epitope specific interferon-beta production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interferon-beta production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific granulocyte colony stimulating factor production by T cells	G-CSF release|RNA/DNA detection	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific granulocyte colony stimulating factor production by T cells	G-CSF release|ELISPOT	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|cytometric bead array	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|ELISPOT	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|RNA/DNA detection	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|ELISPOT	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	enzyme-linked immunospot assay									IEDB	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific chemokine (C-X-C motif) ligand 12 production by T cells	CXCL12/SDF-1 release|RNA/DNA detection	An assay of epitope specific chemokine (C-X-C motif) ligand 12 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 12 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
